"filename", "language", "Properties", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\bryan_prinz-silva\Documents\GitHub\trabalho-helena\.env", "Properties", 5, 0, 0, 0, 1, 0, 6
"c:\Users\bryan_prinz-silva\Documents\GitHub\trabalho-helena\controller\compras.controller.js", "JavaScript", 0, 63, 0, 0, 0, 12, 75
"c:\Users\bryan_prinz-silva\Documents\GitHub\trabalho-helena\controller\produtos.controller.js", "JavaScript", 0, 102, 0, 0, 0, 17, 119
"c:\Users\bryan_prinz-silva\Documents\GitHub\trabalho-helena\controller\usuarios.controller.js", "JavaScript", 0, 101, 0, 0, 0, 18, 119
"c:\Users\bryan_prinz-silva\Documents\GitHub\trabalho-helena\db\conn.js", "JavaScript", 0, 15, 0, 0, 0, 3, 18
"c:\Users\bryan_prinz-silva\Documents\GitHub\trabalho-helena\frontend\compra.html", "HTML", 0, 0, 0, 492, 5, 24, 521
"c:\Users\bryan_prinz-silva\Documents\GitHub\trabalho-helena\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 1, 1
"c:\Users\bryan_prinz-silva\Documents\GitHub\trabalho-helena\frontend\produto.html", "HTML", 0, 0, 0, 540, 7, 28, 575
"c:\Users\bryan_prinz-silva\Documents\GitHub\trabalho-helena\frontend\usuario.html", "HTML", 0, 0, 0, 522, 7, 43, 572
"c:\Users\bryan_prinz-silva\Documents\GitHub\trabalho-helena\index.js", "JavaScript", 0, 38, 0, 0, 2, 8, 48
"c:\Users\bryan_prinz-silva\Documents\GitHub\trabalho-helena\model\Compras.js", "JavaScript", 0, 57, 0, 0, 0, 2, 59
"c:\Users\bryan_prinz-silva\Documents\GitHub\trabalho-helena\model\Produtos.js", "JavaScript", 0, 45, 0, 0, 0, 2, 47
"c:\Users\bryan_prinz-silva\Documents\GitHub\trabalho-helena\model\Usuarios.js", "JavaScript", 0, 50, 0, 0, 0, 2, 52
"c:\Users\bryan_prinz-silva\Documents\GitHub\trabalho-helena\model\rel.js", "JavaScript", 0, 24, 0, 0, 0, 5, 29
"c:\Users\bryan_prinz-silva\Documents\GitHub\trabalho-helena\package-lock.json", "JSON", 0, 0, 1178, 0, 0, 1, 1179
"c:\Users\bryan_prinz-silva\Documents\GitHub\trabalho-helena\package.json", "JSON", 0, 0, 20, 0, 0, 1, 21
"c:\Users\bryan_prinz-silva\Documents\GitHub\trabalho-helena\sync.js", "JavaScript", 0, 14, 0, 0, 0, 2, 16
"Total", "-", 5, 509, 1198, 1554, 22, 169, 3457